projOrgFDate,wfoid,project_status,approvedOn,hardcopysubmissionDate,projectCost,projectType,districtName,project_address,total_est_cost_of_proj,payment_status,regNo,startDate,endDate,districtType,projectName,promoterAddress,regFee,project_cost,extDate,project_ack_no,promoterName,disposed_date
2019-12-31 05:30:00,12,Ongoing,01-September-2017,2017-07-24 05:30:00,583076155,Mixed Development,Ahmedabad,"Survey N0. 678, Near Kaveri Sangam, Off SP ring road, Shilaj, Ahmedabad",583076155,Paid,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00043/010917,20-October-2016,31-December-2019,Ahmedabad,Aashray Arise,NA,85380,520000000,,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170724/000158,Aashray Constructions,
2021-12-30 05:30:00,38,New,12-July-2017,2017-07-11 05:30:00,1785598580,Mixed Development,Ahmedabad,"Nr. Anupam Cinema, Next to Ashima Mills, Shri Khandubhai Desai Marg, Khokhra, Ahmedabad",1785598580,SAVED,PR/GJ/AHMEDABAD/AHMADABAD CITY/Others/MAA00001/A1M/031218,01-July-2017,30-December-2021,Ahmedabad,Saujanya Apartments,"Nr. Anupam Cinema, Next to Ashima Mills Shri Khandubhai Desai Marg, Khokhra, Ahmedabad",0,1785598580,,PR/AHMEDABAD/AHMADABAD CITY/AUDA/170711/000017,SAUMYA CONSTRUCTION PRIVATE LIMITED,
2026-06-30 05:30:00,58,Ongoing,23-August-2017,2017-07-25 05:30:00,286214820,Commercial,Ahmedabad,Nr. Abhishree Complex Satellite,286214820,Paid,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00005/230817,08-January-2016,30-June-2026,Ahmedabad,Santorini Square,"201/A, Maurya Atriya  Bodakdev, Ahmedabad",34725,214400000,,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170725/000047,KRISH BUILDCON,
2018-12-31 05:30:00,62,Ongoing,06-October-2017,2017-07-12 05:30:00,672172251,Residential/Group Housing,Ahmedabad,"Nr. DCIS Circle,200' Ring Road TP 76B, Chandkheda",672172251,Paid,PR/GJ/AHMEDABAD/DASKROI/Others/RAA00362/061017,24-April-2014,31-December-2018,Ahmedabad,PURE BY SANGATH IPL,NA,36420,557722750,,PR/AHMEDABAD/DASKROI/AUDA/170712/000033,SANGATH INFRASTRUCTURES (P) LTD,
2027-10-10 05:30:00,72,Ongoing,01-September-2017,2017-07-12 05:30:00,112833405,Mixed Development,Vadodara,"NR. HARNI WATER TANK, MOTHNATH MAHADEV MANDIR ROAD,  HARNI",112833405,Paid,PR/GJ/VADODARA/VADODARA/Others/MAA00055/010917,08-April-2015,10-October-2027,Vadodara,SARVA SQUARE,"B-102, ARIES PRIDE, 2/3 SARASWATI SOCEITY B/H TAKSH COMPLEX, VASNA ROAD",30810,107125000,,PR/VADODARA/VADODARA/VADODARA TPO/170712/000037,SARVA SWAMI DEVELOPERS,
2019-10-10 05:30:00,80,Ongoing,01-September-2017,2017-07-12 05:30:00,145682622,Residential/Group Housing,Vadodara,"NR. HARNI WATER TANK, B/H CYGNUS SCHOOL MOTHNATH MAHADEV MANDIR ROAD, HARNI",145682622,Paid,PR/GJ/VADODARA/VADODARA/Others/RAA00056/010917,07-March-2014,10-October-2019,Vadodara,SARVA RESIDENCY-1,NA,21950,129112930,,PR/VADODARA/VADODARA/VADODARA TPO/170712/000042,SARVA DEVELOPERS,
2020-12-31 05:30:00,108,Ongoing,22-September-2017,2017-07-29 05:30:00,136351000,Mixed Development,Ahmedabad,"Lambha Lake Opp Gayatri Complex, Nr Lambha Temple, Lambha",136351000,Paid,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00235/220917,14-August-2014,31-December-2020,Ahmedabad,Shivesh 621,NA,68295,175000000,,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170729/000058,Dharmaja Associates,
2019-03-01 05:30:00,110,Ongoing,15-September-2017,2017-07-27 05:30:00,94721343,Mixed Development,Tapi,"Royal Luxuria, Behind SBI Talao road",94721343,Paid,PR/GJ/TAPI/VYARA/Others/MAA00157/150917,15-December-2015,01-March-2019,Others,Royal Luxuria,NA,69810,94800000,,PR/TAPI/VYARA/TAAPI TPO/170727/000061,Royal Estates,
2021-06-30 05:30:00,135,Ongoing,25-October-2017,2017-07-31 05:30:00,387198938,Residential/Group Housing,Gandhinagar,"TP 18, FP 90+95, SURVEY 143+154/P RAYSAN, PDPU UNIVERSITY ROAD",387198938,Paid,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00523/251017,07-November-2015,30-June-2021,Gandhinagar,VINAYAK LIFESTYLE,NA,38360,387179300,,PR/GANDHINAGAR/GANDHINAGAR/GANDHINAGAR TPO/170731/000912,DOLPHIN PROJECTS,
2018-04-30 05:30:00,139,Ongoing,13-September-2017,2017-07-29 05:30:00,306939700,Mixed Development,Ahmedabad,B/H SATYAMEVHOSPITALCT ROAD NEW CHANDKHEDA,306939700,Paid,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00142/EX1/290918,14-March-2016,31-January-2019,Ahmedabad,KB ROYALPHOENIX,NA,69660,307148620,2019-01-31 05:30:00,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170729/000583,KGB INFRA PROJECTS PRIVATE LIMITED,
2019-03-29 05:30:00,146,Ongoing,07-September-2017,2017-07-28 05:30:00,340927288,Mixed Development,Ahmedabad,"MADHULI RESTAURANT LANE VAISHNAVDEVI CIRCLE, S.G. HIGHWAY",340927288,Paid,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00097/EX1/080419,09-October-2015,31-July-2019,Ahmedabad,KISHOR PARK,NA,53715,315000000,2019-07-31 05:30:00,PR/AHMEDABAD/AHMADABAD CITY/AHMEDABAD TPO/170728/000419,KT HRISHIKESH REALTY,
